"cityId","cityName","zoneId","zoneName","areaDownloadUrl"
"1","Dhaka","1056","Dhaka Medical","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1056"
"1","Dhaka","1058","Banasree (Block H-J)","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1058"
"1","Dhaka","1060","Malibagh College Road","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1060"
"1","Dhaka","1061","Malibagh Lane","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1061"
"1","Dhaka","1062","Gulbagh","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1062"
"1","Dhaka","1063","Joardar Lane","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1063"
"1","Dhaka","1064","Malibagh Pabna Colony","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1064"
"1","Dhaka","1065","Malibagh  Baganbari","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1065"
"1","Dhaka","1066","Abul Hotel","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1066"
"1","Dhaka","1067","Noyatola road","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1067"
"1","Dhaka","1070","Abdullahpur Uttara","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1070"
"1","Dhaka","1071","Rayer Bazar","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1071"
"1","Dhaka","1072","shankar","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1072"
"1","Dhaka","1074","Nakhal para","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1074"
"1","Dhaka","1075","Dohar","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1075"
"1","Dhaka","1076","Nawabganj (Dohar)","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1076"
"1","Dhaka","1077","Keraniganj Model Thana","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1077"
"1","Dhaka","1079","Equria Thana","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1079"
"1","Dhaka","1092","Nimaikishori","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1092"
"1","Dhaka","1093","Madani nagar","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1093"
"1","Dhaka","1094","Adarsha Nagar - Kutubpur","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1094"
"1","Dhaka","1095","narayanpur - keshobpur","https://minsahbeauty.cloud/api/shipping/pathao/locations/export?type=areas&city_id=1&zone_id=1095"
